id,name,isFork,commits,branches,releases,forks,mainLanguage,defaultBranch,license,homepage,watchers,stargazers,contributors,size,createdAt,pushedAt,updatedAt,totalIssues,openIssues,totalPullRequests,openPullRequests,blankLines,codeLines,commentLines,metrics,lastCommit,lastCommitSHA,hasWiki,isArchived,isDisabled,isLocked,languages,labels,topics
58386559,eeditiones/tei-publisher-components,False,1688.0,46,281,19,JavaScript,master,GNU General Public License v3.0,https://cdn.tei-publisher.com/,10,18,15.0,32447,2020-05-26T05:03:01,2026-02-17T09:06:22,2026-02-17T08:43:12,68.0,33.0,230.0,19.0,4143.0,72094.0,4317.0,"[{""blankLines"":4,""language"":""XQuery"",""commentLines"":2,""codeLines"":18},{""blankLines"":8,""language"":""YAML"",""commentLines"":8,""codeLines"":106},{""blankLines"":25,""language"":""Dockerfile"",""commentLines"":27,""codeLines"":46},{""blankLines"":0,""language"":""SVG"",""commentLines"":0,""codeLines"":6},{""blankLines"":1250,""language"":""Markdown"",""commentLines"":0,""codeLines"":1161},{""blankLines"":0,""language"":""JSON"",""commentLines"":0,""codeLines"":43910},{""blankLines"":2291,""language"":""JavaScript"",""commentLines"":3961,""codeLines"":21266},{""blankLines"":0,""language"":""XML"",""commentLines"":0,""codeLines"":18},{""blankLines"":6,""language"":""Ant"",""commentLines"":0,""codeLines"":26},{""blankLines"":56,""language"":""CSS"",""commentLines"":48,""codeLines"":188},{""blankLines"":8,""language"":""INI"",""commentLines"":0,""codeLines"":21},{""blankLines"":495,""language"":""HTML"",""commentLines"":271,""codeLines"":5328}]",2026-02-17T08:43:08,e4b4b4f9d1eb3f289138aeed5e6fa4c5bc7fce2b,True,False,False,False,"{""JavaScript"":802364,""CSS"":4831,""HTML"":4077,""Dockerfile"":2930}",bug;dependencies;documentation;duplicate;enhancement;github_actions;good first issue;help wanted;invalid;javascript;needs funding;needs tests;question;release;released;released on @next;semantic-release;ui;wontfix,tei-publisher;tei-xml;webcomponents
58388516,filips123/pwasforfirefox,False,679.0,7,66,68,JavaScript,main,Mozilla Public License 2.0,https://pwasforfirefox.filips.si,19,2900,20.0,3272,2021-06-11T08:15:16,2026-01-28T08:53:26,2026-01-30T01:25:33,531.0,75.0,67.0,4.0,4073.0,23106.0,2573.0,"[{""blankLines"":1060,""language"":""JavaScript"",""commentLines"":1035,""codeLines"":4350},{""blankLines"":30,""language"":""WiX source"",""commentLines"":40,""codeLines"":240},{""blankLines"":10,""language"":""Bourne Shell"",""commentLines"":14,""codeLines"":39},{""blankLines"":911,""language"":""Markdown"",""commentLines"":49,""codeLines"":1857},{""blankLines"":86,""language"":""Sass"",""commentLines"":72,""codeLines"":293},{""blankLines"":213,""language"":""YAML"",""commentLines"":45,""codeLines"":1092},{""blankLines"":26,""language"":""XML"",""commentLines"":11,""codeLines"":100},{""blankLines"":3,""language"":""PowerShell"",""commentLines"":0,""codeLines"":14},{""blankLines"":206,""language"":""Freemarker Template"",""commentLines"":0,""codeLines"":834},{""blankLines"":96,""language"":""Text"",""commentLines"":0,""codeLines"":499},{""blankLines"":4,""language"":""Scheme"",""commentLines"":13,""codeLines"":10},{""blankLines"":45,""language"":""TOML"",""commentLines"":21,""codeLines"":230},{""blankLines"":2,""language"":""Handlebars"",""commentLines"":0,""codeLines"":22},{""blankLines"":39,""language"":""JSON"",""commentLines"":0,""codeLines"":6954},{""blankLines"":25,""language"":""INI"",""commentLines"":0,""codeLines"":96},{""blankLines"":105,""language"":""SCSS"",""commentLines"":97,""codeLines"":404},{""blankLines"":2,""language"":""SVG"",""commentLines"":6,""codeLines"":15},{""blankLines"":939,""language"":""Rust"",""commentLines"":1108,""codeLines"":4209},{""blankLines"":119,""language"":""HTML"",""commentLines"":11,""codeLines"":1329},{""blankLines"":49,""language"":""Python"",""commentLines"":15,""codeLines"":184},{""blankLines"":103,""language"":""CSS"",""commentLines"":36,""codeLines"":335}]",2025-12-28T07:42:54,ed0da856fd51f2cee2d255ae238c5de8f21341f4,True,False,False,False,"{""JavaScript"":257012,""Rust"":216165,""HTML"":76283,""Fluent"":42666,""CSS"":12315,""SCSS"":8966,""Shell"":6346,""Scheme"":955,""Handlebars"":581,""PowerShell"":572,""NSIS"":514}",bug;could not reproduce;crowdin;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,firefox;firefox-addon;firefox-extension;hacktoberfest;mozilla-firefox;progressive-web-app;pwa;userchrome;userscript
58397131,renative-org/renative,False,4652.0,43,15,175,JavaScript,canary,MIT License,https://renative.org,49,1596,44.0,226070,2018-07-24T03:46:02,2023-04-18T11:15:07,2023-04-26T06:30:22,526.0,140.0,439.0,7.0,4642.0,38338.0,3342.0,"[{""blankLines"":9,""language"":""Dockerfile"",""commentLines"":7,""codeLines"":21},{""blankLines"":345,""language"":""TypeScript"",""commentLines"":282,""codeLines"":2582},{""blankLines"":24,""language"":""Gradle"",""commentLines"":9,""codeLines"":161},{""blankLines"":60,""language"":""XML"",""commentLines"":184,""codeLines"":2312},{""blankLines"":0,""language"":""JSON"",""commentLines"":0,""codeLines"":3623},{""blankLines"":44,""language"":""DOS Batch"",""commentLines"":4,""codeLines"":125},{""blankLines"":5,""language"":""ProGuard"",""commentLines"":33,""codeLines"":0},{""blankLines"":51,""language"":""C++"",""commentLines"":58,""codeLines"":263},{""blankLines"":46,""language"":""Kotlin"",""commentLines"":14,""codeLines"":123},{""blankLines"":59,""language"":""PowerShell"",""commentLines"":129,""codeLines"":452},{""blankLines"":20,""language"":""Bourne Again Shell"",""commentLines"":21,""codeLines"":123},{""blankLines"":3692,""language"":""JavaScript"",""commentLines"":2391,""codeLines"":27351},{""blankLines"":22,""language"":""Bourne Shell"",""commentLines"":22,""codeLines"":132},{""blankLines"":1,""language"":""Visual Studio Solution"",""commentLines"":1,""codeLines"":195},{""blankLines"":19,""language"":""Objective-C"",""commentLines"":2,""codeLines"":38},{""blankLines"":25,""language"":""HTML"",""commentLines"":136,""codeLines"":197},{""blankLines"":50,""language"":""C/C++ Header"",""commentLines"":20,""codeLines"":194},{""blankLines"":5,""language"":""YAML"",""commentLines"":0,""codeLines"":53},{""blankLines"":148,""language"":""Markdown"",""commentLines"":0,""codeLines"":355},{""blankLines"":17,""language"":""Swift"",""commentLines"":29,""codeLines"":38}]",2023-02-28T07:53:23,6796e7e1eb110b5ca86ad5d8845a84108745a34d,True,False,False,False,"{""JavaScript"":1194809,""TypeScript"":136052,""Ruby"":33687,""HTML"":24099,""Objective-C"":23759,""PowerShell"":23306,""Kotlin"":17575,""C++"":16546,""CSS"":5069,""Dockerfile"":1601,""Swift"":1367,""C"":1329,""VBScript"":575,""Java"":562,""Shell"":55}",bug;chore;dependencies;do not merge;docs;duplicate;enhancement;full sanity required;good first issue;help wanted;in progress;in review;invalid;needs more info;os:win;pinned;plat:android;plat:android_tv;plat:android_wear;plat:ios;plat:macos;plat:ps4;plat:roku;plat:tizen;plat:tizenphone;plat:tvos;plat:webos;plat:windows;plat:xbox;question;suggestion;typo;wip;wontfix,
58406228,fastify/busboy,False,356.0,2,12,23,JavaScript,main,Other,https://npmjs.com/package/@fastify/busboy,5,128,27.0,650,2021-11-27T12:25:19,2026-01-01T06:03:07,2026-01-08T09:18:48,26.0,5.0,177.0,3.0,762.0,5766.0,352.0,"[{""blankLines"":43,""language"":""TypeScript"",""commentLines"":155,""codeLines"":495},{""blankLines"":636,""language"":""JavaScript"",""commentLines"":194,""codeLines"":4822},{""blankLines"":0,""language"":""DOS Batch"",""commentLines"":2,""codeLines"":15},{""blankLines"":78,""language"":""Markdown"",""commentLines"":0,""codeLines"":232},{""blankLines"":5,""language"":""YAML"",""commentLines"":1,""codeLines"":40},{""blankLines"":0,""language"":""JSON"",""commentLines"":0,""codeLines"":162}]",2026-01-01T06:03:05,8c86b7c201d077b4a76e493b5c41fdda1dda7ec3,False,False,False,False,"{""JavaScript"":154523,""TypeScript"":11551,""Batchfile"":375}",breaking change;bug;dependencies;documentation;duplicate;enhancement;github_actions;good first issue;help wanted;invalid;javascript;question;semver-major;wontfix,fastify-fork;fastify-library
58409129,topcoder-platform/work-manager,False,1915.0,192,32,51,JavaScript,develop,,,30,14,45.0,13561,2019-05-08T06:48:20,2026-02-23T06:53:44,2026-02-22T08:19:38,1086.0,142.0,645.0,72.0,10532.0,78158.0,2857.0,"[{""blankLines"":164,""language"":""TypeScript"",""commentLines"":370,""codeLines"":808},{""blankLines"":80,""language"":""JSX"",""commentLines"":88,""codeLines"":823},{""blankLines"":1,""language"":""JSON"",""commentLines"":0,""codeLines"":2529},{""blankLines"":2057,""language"":""SCSS"",""commentLines"":83,""codeLines"":11176},{""blankLines"":9,""language"":""Dockerfile"",""commentLines"":7,""codeLines"":22},{""blankLines"":33,""language"":""Text"",""commentLines"":0,""codeLines"":170},{""blankLines"":4039,""language"":""YAML"",""commentLines"":20,""codeLines"":14774},{""blankLines"":64,""language"":""Markdown"",""commentLines"":0,""codeLines"":121},{""blankLines"":2735,""language"":""JavaScript"",""commentLines"":2222,""codeLines"":31702},{""blankLines"":0,""language"":""XML"",""commentLines"":0,""codeLines"":3},{""blankLines"":39,""language"":""Bourne Shell"",""commentLines"":26,""codeLines"":194},{""blankLines"":1311,""language"":""Sass"",""commentLines"":35,""codeLines"":6938},{""blankLines"":0,""language"":""SVG"",""commentLines"":6,""codeLines"":8882},{""blankLines"":0,""language"":""HTML"",""commentLines"":0,""codeLines"":16}]",2026-02-22T08:15:51,1bd68aa3e4c85f5b44f869b0ff527d1b7e87996e,True,False,False,False,"{""JavaScript"":1226241,""SCSS"":225558,""TypeScript"":41451,""Shell"":8150,""Dockerfile"":904,""HTML"":408}",12/15 es release;accepted;api/backend question;auto-pilot-issue;bad documentation;billing-account;bug;cf;challenge-api-issue;community-task;could not reproduce;dependencies;dev environment;discuss;duplicate;edit ui implementation;enhancement;feature request;feature: basic details;feature: billing accounts;feature: faqs;feature: miscellaneous;feature: navigation;feature: prizes;feature: project defaults;feature: specification field;feature: timeline;feature: track selection;feature: type selection;feature: work participants;feature: work requirements;feature: work title;feedback;functional;goal release by: 12/30;have a question (dev);hotfix;intermittent;legacy-sync;may 7 bug hunt;meta-data;mfe-refactor;must-fix;need clarification;new ui implementation;no-work-needed;not a requirement;not relevant;open for pickup;p0;p1;p2;p3;p4;paid;prod environment;q&a streamlining;qa fail in dev;qa fail in prod;qa not required;qa partially reviewed in dev;qa partially reviewed in prod;qa pass in dev;qa pass in prod;qa req review;question (qa);ready for prod qa;ready for qa;ready for review;rejected;release due date: 1/15;release due date: 2/26;release due date: 3/12;released;requirement question;sdw;security;self-service;set-up ui implementation;suggestion;swd;tcx_assigned;tcx_canceled;tcx_feedback;tcx_fixaccepted;tcx_notready;tcx_openforpickup;tcx_paid;tcx_readyforreview;tech debt;topgear;user interface;v1.x;wontfix;wontfix-communityappfiix;wontfix-redesign-candidate;workflow optimization,docker;frontend;reactjs;ui
58673808,gramps-project/gramps.js,False,1075.0,11,56,39,JavaScript,main,GNU Affero General Public License v3.0,https://www.grampsweb.org,9,189,46.0,10993,2020-11-24T07:12:29,2024-01-18T07:11:31,2024-01-19T07:26:56,208.0,38.0,122.0,0.0,3350.0,63405.0,879.0,"[{""blankLines"":11,""language"":""Markdown"",""commentLines"":0,""codeLines"":12},{""blankLines"":3169,""language"":""JavaScript"",""commentLines"":815,""codeLines"":29293},{""blankLines"":134,""language"":""CSS"",""commentLines"":48,""codeLines"":1289},{""blankLines"":4,""language"":""HTML"",""commentLines"":0,""codeLines"":34},{""blankLines"":12,""language"":""YAML"",""commentLines"":3,""codeLines"":201},{""blankLines"":0,""language"":""JSON"",""commentLines"":0,""codeLines"":32506},{""blankLines"":16,""language"":""Dockerfile"",""commentLines"":9,""codeLines"":47},{""blankLines"":4,""language"":""Bourne Shell"",""commentLines"":4,""codeLines"":23}]",2024-01-18T07:11:31,e41c8fde77d7050ef7181b7f9f9ffa97c915da96,True,False,False,False,"{""JavaScript"":861248,""CSS"":32693,""HTML"":1152,""Dockerfile"":141}",blocked;bug;demo;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,family-history;family-tree;gedcom;genealogy;gramps;gramps-xml;javascript;lit;web-components
58675004,gurumukhi/youtube-screenshot,False,49.0,5,3,14,JavaScript,master,Mozilla Public License 2.0,https://addons.mozilla.org/en-US/firefox/addon/youtube-screenshot-button/,2,59,4.0,81,2018-12-08T12:50:24,2026-01-13T09:28:27,2026-01-13T09:04:00,51.0,21.0,41.0,2.0,111.0,4867.0,39.0,"[{""blankLines"":0,""language"":""JSON"",""commentLines"":0,""codeLines"":4335},{""blankLines"":10,""language"":""Markdown"",""commentLines"":0,""codeLines"":40},{""blankLines"":6,""language"":""YAML"",""commentLines"":0,""codeLines"":22},{""blankLines"":88,""language"":""JavaScript"",""commentLines"":39,""codeLines"":389},{""blankLines"":2,""language"":""CSS"",""commentLines"":0,""codeLines"":9},{""blankLines"":5,""language"":""HTML"",""commentLines"":0,""codeLines"":72}]",2026-01-05T08:54:37,d34f13fe5a0044fa2ed0054649c5dd3ddf1f3f35,True,False,False,False,"{""JavaScript"":14789,""HTML"":2528,""CSS"":95}",bug;duplicate;enhancement;good first issue;help wanted;invalid;p2;question;wontfix,
58675686,mattipv4/monitors,False,139.0,1,0,0,JavaScript,master,Apache License 2.0,,1,11,1.0,176,2021-01-08T08:56:10,2025-11-10T06:27:19,2025-11-10T06:27:23,0.0,0.0,0.0,0.0,189.0,3958.0,135.0,"[{""blankLines"":11,""language"":""Markdown"",""commentLines"":0,""codeLines"":17},{""blankLines"":0,""language"":""JSON"",""commentLines"":0,""codeLines"":3049},{""blankLines"":19,""language"":""YAML"",""commentLines"":4,""codeLines"":66},{""blankLines"":159,""language"":""JavaScript"",""commentLines"":131,""codeLines"":826}]",2025-11-10T06:27:11,8bd9484e4f61fe0569a749f462990268d6a0002a,False,False,False,False,"{""JavaScript"":44310}",bug;documentation;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
58688049,danez/pirates,False,203.0,1,20,20,JavaScript,main,MIT License,,6,405,13.0,991,2015-12-04T01:09:33,2026-01-29T08:40:58,2026-01-29T08:41:01,26.0,0.0,101.0,0.0,169.0,613.0,149.0,"[{""blankLines"":9,""language"":""TypeScript"",""commentLines"":60,""codeLines"":13},{""blankLines"":67,""language"":""JavaScript"",""commentLines"":77,""codeLines"":256},{""blankLines"":21,""language"":""YAML"",""commentLines"":12,""codeLines"":86},{""blankLines"":72,""language"":""Markdown"",""commentLines"":0,""codeLines"":216},{""blankLines"":0,""language"":""JSON"",""commentLines"":0,""codeLines"":42}]",2026-01-29T08:40:58,3eb178d0a664c447b9513333d41ea0140e69d791,False,False,False,False,"{""JavaScript"":13078}",chore;dependencies;discussion;docs;duplicate;feat;fix;greenkeeper;help wanted;invalid;javascript;needs info;perf;question;released;semantic-release;test;wontfix,
58693295,palewire/cummings.ee,False,829.0,9,0,16,JavaScript,master,MIT License,https://cummings.ee,6,32,12.0,324338,2018-12-20T08:48:24,2022-07-28T03:39:43,2022-04-20T09:33:44,52.0,13.0,102.0,7.0,2416.0,25205.0,29.0,"[{""blankLines"":61,""language"":""Sass"",""commentLines"":1,""codeLines"":954},{""blankLines"":1,""language"":""SVG"",""commentLines"":1,""codeLines"":281},{""blankLines"":25,""language"":""HTML"",""commentLines"":0,""codeLines"":327},{""blankLines"":2,""language"":""XML"",""commentLines"":0,""codeLines"":8},{""blankLines"":2210,""language"":""YAML"",""commentLines"":4,""codeLines"":7675},{""blankLines"":83,""language"":""Markdown"",""commentLines"":0,""codeLines"":170},{""blankLines"":5,""language"":""JSON"",""commentLines"":0,""codeLines"":15563},{""blankLines"":1,""language"":""make"",""commentLines"":0,""codeLines"":6},{""blankLines"":28,""language"":""JavaScript"",""commentLines"":23,""codeLines"":221}]",2022-07-28T03:38:45,119d496da12627160302c9dc373211bf39977b68,False,False,False,False,"{""JavaScript"":73026,""SCSS"":21295,""HTML"":11711,""Nunjucks"":287,""Makefile"":171}",bug;dependencies;duplicate;enhancement;good first issue;help wanted;invalid;question;wontfix,
